Username,Handle,Timestamp,Text,Replys,Retweets,Likes
C3 Cultura,@C3Cultura,2018-10-19T00:59:29.000Z,"@jairbolsonaro
 é tão atuante na camara que propos na live dele agora uma cpi da Rouanet....ele nao sabe que ja teve? #rouanet    #BolsonaroFogeDoDebate #Caixa2doBolsonaro
1",,,1
Fco_leandro,@Leandro_011276,2018-10-18T12:40:42.000Z,"Em resposta a 
@g1
#rouanet",,,
Helena,@HelenaDiBar,2018-10-18T12:24:00.000Z,"Esses não têm que prestar contas do $$ que coptaram da lei #Rouanet ? Ou vamos ficar esperando que embolsem sem nos dar qualquer lucro ou dividendos? #ForaPT #ForaHaddad #forapseudofamosos
 #Bolsonaro17 #BolsonaroPresidenteDoBrasil
CriptoGames Brasil
@CriptoGamesBR
 · 18 de out de 2018
O manifesto diz que o presidenciável “Fernando Haddad (PT) demonstrou compromisso claro com valores que são essenciais para a vida intelectual e literária de um país democrático”.

https://renovamidia.com.br/pt-cria-mais-um-manifesto-de-artistas-contra-bolsonaro/…",,,
Esthetic & Hair,@EstheticeHair,2018-10-18T02:13:38.000Z,"Pra tudo nessa vida, tem explicação, e para oa artistas tem lei #Rouanet.
Mais um com ""medo"" de perder a mamata. http://odiarionacional.org/2018/02/15/luciano-huck-recebeu-mais-de-r19-milhoes-da-lei-rouanet/…",,,
Priscila,@prigulielmini,2018-10-13T15:13:29.000Z,"Em resposta a 
@gazetadopovo
 e 
@jairbolsonaro
@luciano_hang
 dono da Havan, está dando 50% desconto em passagens só de ida pra Venezuela, 
@antunes_arnaldo
 e toda corja #rouanet podiam aproveitar.",,,
Daladier Santos,@daladier,2018-10-13T11:08:04.000Z,"Em resposta a 
@eduardoaimar
 e 
@gazetadopovo
Claro que sim!
http://cultura.gov.br/leis/-/asset_publisher/aQ2oBvSJ2nH4/content/arnaldo-antunes-391082/10883…
#ArnaldoAntunes #Rouanet #Elenão #Elesim",,,
Daladier Santos,@daladier,2018-10-13T11:06:35.000Z,"PARA QUE TÁ FEIO!
Pesquisei no Google ""Arnaldo Antunes Rouanet"" e bingo! http://cultura.gov.br/leis/-/asset_publisher/aQ2oBvSJ2nH4/content/arnaldo-antunes-391082/10883…
#ArnaldoAntunes #Rouanet #Elenão #Elesim
gazetadopovo.com.br
Arnaldo Antunes publica manifesto contra Bolsonaro em suas redes sociais
Intitulado ""Isto Não é um Poema"", trata-se de um vídeo de quase 12 minutos. Sobre um fundo preto, sucedem-se versos escritos em fonte branca sobre casos recentes de agressão atribuídos a eleitores de...
1",,,1
Karen Resenhando,@Karenzinha_Mira,2018-10-12T19:39:19.000Z,"Em resposta a 
@Bolsonaro___22
 @psl_mg
 e 
@ruthtrika
Eita #Rouanet que vai acabar kkkk nao vejo a hora do Capitão #BrasilComBolsonaro17. Botar ordem nessa bagaça.
2
14",,2,14
Ricardo Marins,@RicardoMarins0,2018-10-12T18:35:17.000Z,"Aquela super atriz brasileira que nunca precisou mamar na #Rouanet parabéns 
@reginaduarte
Jair M. Bolsonaro
@jairbolsonaro
 · 12 de out de 2018
Regina Duarte visita Jair Bolsonaro. 
1",,,1
Paulo,@paulo_tk1,2018-10-12T12:12:13.000Z,"Em resposta a 
@MauMeirelles
VAI COMER TUA MORTADELA SEU COMUNISTA!
#Rouanet #600milhoes #Boulos
2",,,2
Vamos falar a verdade !!,@Jeyoliv80144534,2018-10-09T17:28:08.000Z,"Se a midia  nao fosse parcial aqui tambem  partidos  envolvidos  em CORRUPÇAO  seriam  pulverizados !!!  Mas #ROUANET comprou a midia e varios famosos
Jornal O Globo
@JornalOGlobo
 · 9 de out de 2018
Eleição regional no Peru pulveriza partidos envolvidos em corrupção. https://glo.bo/2OMx3ci",,,
D.Leppard,@psnaldo,2018-10-07T14:28:25.000Z,"O meu voto 17 é em homenagem a rainha dos demônios Daniela e antanita.
#ElasNão #EleSim 
#Rouanet é o crlh",,,
Anti-Comunista,@Hildebertogome2,2018-10-06T14:03:32.000Z,#Rouanet Não,,,
Allan,@zoiudo10,2018-10-06T03:00:25.000Z,"https://youtu.be/91oqyQHeU-k
Devolve o dinheiro da lei #Rouanet
@Anitta
@danielamercury
 e 
@PretaGil
 que não tem uma música se quer conhecida é um milagre.
#eleições2018",,,
Fco_leandro,@Leandro_011276,2018-10-06T01:59:50.000Z,"Em resposta a 
@pabllovittar
#lixo #rouanet",,,
Diego,@DiegoSouzaBSB,2018-10-04T10:03:27.000Z,"Em resposta a 
@Metropoles
Ridícula, vai perder o dinheiro da lei #Rouanet, #Bolsonaro17",,,
Rapha D'Lire,@raphadlire,2018-10-04T07:03:33.000Z,Entender para construir juntos. #teatromusical #marisaorth #teatro #musica #danca #arte #cultura #rouanet https://instagram.com/p/BogIqkaBnA4/?utm_source=ig_twitter_share&igshid=7hwn1bv2eziz…,,,
Suzzato,@Suzzato,2018-10-04T05:33:18.000Z,"Isso mesmo galera... informe-se antes de falar ""merdinha"" na web... Eu já presenciei reunião da #Rouanet... Para esclarecer suas ideias... basta conferir as imagens da publicação,… https://instagram.com/p/Bof-VsqFbJ1/?utm_source=ig_twitter_share&igshid=173n109r3ji23…",,,
Geovani Figueira,@Ge0vani,2018-10-04T03:37:24.000Z,"#Rouanet
https://youtu.be/2U5mZGSkvqI",,,
Nixon minha cara é assim mesmo,@nixonvermelho,2018-10-04T03:15:02.000Z,Para os imbecis que querem o fim da Lei Roaunet (provavelmente são pessoas que nunca leram como funciona essa lei) espero que leiam estas palavras há tempo ditas. #Cultura #rouanetsim #rouanet #ignorantes,,,
Wilson Ramires,@wilson_ramires,2018-10-03T20:59:41.000Z,"#elenao #elesim #rouanetnao #rouanet roubalheira de artistas.
Roger Rocha Moreira
@roxmo
 · 3 de out de 2018
Porque a Daniela é tão “elenão”?",,,
Eliana Braga,@ElianaBraga,2018-10-01T02:50:05.000Z,"#ironicmode

Especial para vocês ""incautos"" que de #ROUANET , de fato, nada sabem.
Sejam humildes e aprendam, caríssimos ""ingênuos"", que todos ""artistas"" usam e os esquerdistas criminosos socialistas... https://facebook.com/apenaslili/posts/2064800916918903…",,,
William Tomaz Speltz,@DerMeinster,2018-09-30T21:57:54.000Z,"Em resposta a 
@BolsonaroSP
#Elenão = a #rouanet sim
1",1,,
Junior Garrett,@juniorgarrett,2018-09-30T20:53:05.000Z,"@Ticostacruz
 aí Titico... Ficou feio hein kkkkk chegou a apagar o Post...
#Rouanet agradece kkkkk",,,
Jessica,@Jssica38761093,2018-09-30T19:41:52.000Z,"@FabioPorchat
 esta fora do Portas do Fundo! Afinal ele nunca recebeu benefícios da #Rouanet",,,
Marcelo Alcântara ॐ,@MarceloA_SP,2018-09-30T18:40:18.000Z,"#ROUANET(SIGNIFICADO): Fazer Show com verba do Governo e cobrar ingresso do público...
...Deveria ser totalmente gratuíto esses Shows, já que o Governo paga tudo (e paga caro hein)...
√ ACORDAPOVO!",,,
BLOGDOJOTABE,@BLOGDOJOTABE,2018-09-30T13:41:42.000Z,"Para você que acompanha os artistas no Ele Não, só quero avisar que a #Rouanet não vai te ajudar em nada. Mas um país mais democrático pode lhe ajudar em muita coisa. 
Digite #17 no dia 7.
1",,1,
BLOGDOJOTABE,@BLOGDOJOTABE,2018-09-30T13:39:39.000Z,"Para os artistas, ao invés de #Rouanet, as empresas patrocinadoras deveriam entrar no risco e gerenciar o negócio. Seria tal como uma Antecipação de Créditos de Bilheteria, que teria, ao final, um retorno de... https://facebook.com/JOTABE.SA/posts/10209910623841788…
1",,1,
Jonathan kath,@jonathan_kath,2018-09-29T01:59:31.000Z,#EleSimENo1Turno #rouanet não em 2 anos mais de 2 bilhões de reais investidos em q ? cultura??,,,
Fabio,@Fabio89965245,2018-09-28T21:06:44.000Z,"BOLSONARO PRESIDENTE 17 PRIMEIRO TURNO
#DireitaUnida #EleSim #Rouanet",,,
Marginal integrante del EZLN,@7thPhotographer,2018-09-28T17:56:37.000Z,agora falta os desesperados filhos do bozo dizerem q a #madonna tbm recebeu dinheiro da #Rouanet,,,
